,restaurant,item,calories,item_lower,category
439,Taco Bell,Crunchy Taco Supreme®,200,crunchy taco supreme®,Tacos & Wraps
440,Taco Bell,Double Decker® Taco,320,double decker® taco,Tacos & Wraps
441,Taco Bell,DOUBLE DECKER® Taco Supreme®,350,double decker® taco supreme®,Tacos & Wraps
442,Taco Bell,Spicy Sweet Double Stacked Taco,340,spicy sweet double stacked taco,Tacos & Wraps
443,Taco Bell,Cool Ranch Habanero Double Stacked Taco,350,cool ranch habanero double stacked taco,Tacos & Wraps
444,Taco Bell,Nacho Crunch Double Stacked Taco,380,nacho crunch double stacked taco,Tacos & Wraps
445,Taco Bell,Fiery Doritos® Double Decker® Taco,320,fiery doritos® double decker® taco,Tacos & Wraps
446,Taco Bell,Fiery Doritos® Locos Taco,170,fiery doritos® locos taco,Tacos & Wraps
447,Taco Bell,Fiery Doritos® Locos Taco Supreme,200,fiery doritos® locos taco supreme,Tacos & Wraps
448,Taco Bell,Grilled Steak Soft Taco,250,grilled steak soft taco,Tacos & Wraps
449,Taco Bell,Nacho Cheese Doritos® Double Decker® Taco,320,nacho cheese doritos® double decker® taco,Tacos & Wraps
450,Taco Bell,Nacho Cheese Doritos® Locos Tacos,170,nacho cheese doritos® locos tacos,Tacos & Wraps
451,Taco Bell,Nacho Cheese Doritos® Locos Tacos Supreme,200,nacho cheese doritos® locos tacos supreme,Tacos & Wraps
452,Taco Bell,Soft Taco Supreme® – Beef,230,soft taco supreme® – beef,Tacos & Wraps
453,Taco Bell,Soft Taco-Beef,200,soft taco-beef,Tacos & Wraps
454,Taco Bell,Spicy Potato Soft Taco,250,spicy potato soft taco,Tacos & Wraps
455,Taco Bell,Chalupa Supreme® - Chicken,340,chalupa supreme® - chicken,Tacos & Wraps
456,Taco Bell,Chalupa Supreme® - Steak,340,chalupa supreme® - steak,Tacos & Wraps
457,Taco Bell,Chalupa Supreme®–Beef,370,chalupa supreme®–beef,Tacos & Wraps
458,Taco Bell,Double Chalupa,600,double chalupa,Tacos & Wraps
459,Taco Bell,Wild Naked Chicken Chalupa,420,wild naked chicken chalupa,Tacos & Wraps
460,Taco Bell,Mild Naked Chicken Chalupa,440,mild naked chicken chalupa,Tacos & Wraps
461,Taco Bell,Spicy Double Chalupa,600,spicy double chalupa,Tacos & Wraps
462,Taco Bell,Fresco Bean Burrito,350,fresco bean burrito,Tacos & Wraps
463,Taco Bell,Fresco Burrito Supreme® – Chicken,340,fresco burrito supreme® – chicken,Tacos & Wraps
464,Taco Bell,Fresco Burrito Supreme® – Steak,340,fresco burrito supreme® – steak,Tacos & Wraps
465,Taco Bell,Fresco Chicken Soft Taco,150,fresco chicken soft taco,Tacos & Wraps
466,Taco Bell,Fresco Crunchy Taco,140,fresco crunchy taco,Tacos & Wraps
467,Taco Bell,Fresco Grilled Steak Soft Taco,150,fresco grilled steak soft taco,Tacos & Wraps
468,Taco Bell,Fresco Soft Taco,170,fresco soft taco,Tacos & Wraps
469,Taco Bell,Cheesy Gordita Crunch,490,cheesy gordita crunch,Tacos & Wraps
470,Taco Bell,Doritos® Cheesy Gordita Crunch - Cool Ranch,490,doritos® cheesy gordita crunch - cool ranch,Tacos & Wraps
471,Taco Bell,Doritos® Cheesy Gordita Crunch - Fiery,490,doritos® cheesy gordita crunch - fiery,Tacos & Wraps
472,Taco Bell,Doritos® Cheesy Gordita Crunch - Nacho Cheese,490,doritos® cheesy gordita crunch - nacho cheese,Tacos & Wraps
473,Taco Bell,Double Cheesy Gordita Crunch,570,double cheesy gordita crunch,Tacos & Wraps
474,Taco Bell,Gordita Supreme® – Beef,300,gordita supreme® – beef,Tacos & Wraps
475,Taco Bell,Gordita Supreme® - Chicken,270,gordita supreme® - chicken,Tacos & Wraps
476,Taco Bell,Gordita Supreme® - Steak,270,gordita supreme® - steak,Tacos & Wraps
477,Taco Bell,Nacho Fries Bellgrande,710,nacho fries bellgrande,Other
478,Taco Bell,Nachos BellGrande®,760,nachos bellgrande®,Tacos & Wraps
479,Taco Bell,Nachos Supreme,430,nachos supreme,Tacos & Wraps
480,Taco Bell,Triple Layer Nachos,320,triple layer nachos,Tacos & Wraps
481,Taco Bell,Triple Melt Nachos,260,triple melt nachos,Tacos & Wraps
482,Taco Bell,Beefy Cheddar Crunchwrap Slider,410,beefy cheddar crunchwrap slider,Tacos & Wraps
483,Taco Bell,Beefy Mini Quesadilla,210,beefy mini quesadilla,Tacos & Wraps
484,Taco Bell,Beefy Nacho Griller,420,beefy nacho griller,Tacos & Wraps
485,Taco Bell,BLT Crunchwrap Slider,430,blt crunchwrap slider,Tacos & Wraps
486,Taco Bell,Cantina Power Bowl - Chicken,560,cantina power bowl - chicken,Other
487,Taco Bell,Cantina Power Bowl - Steak,580,cantina power bowl - steak,Other
488,Taco Bell,Cantina Power Bowl - Veggie,540,cantina power bowl - veggie,Other
489,Taco Bell,Cheese Quesadilla,480,cheese quesadilla,Tacos & Wraps
490,Taco Bell,Cheese Roll-Up,190,cheese roll-up,Tacos & Wraps
491,Taco Bell,Chicken Quesadilla,520,chicken quesadilla,Tacos & Wraps
492,Taco Bell,Chickstar,620,chickstar,Tacos & Wraps
493,Taco Bell,Chili Cheese Burrito,380,chili cheese burrito,Tacos & Wraps
494,Taco Bell,Chipotle Crispy Chicken Griller,290,chipotle crispy chicken griller,Tacos & Wraps
495,Taco Bell,Crispy Chicken Quesadilla,650,crispy chicken quesadilla,Tacos & Wraps
496,Taco Bell,Crunchwrap Supreme®,540,crunchwrap supreme®,Tacos & Wraps
497,Taco Bell,Double Tostada,270,double tostada,Tacos & Wraps
498,Taco Bell,Express Taco Salad w/ Chips,580,express taco salad w/ chips,Tacos & Wraps
499,Taco Bell,Loaded Potato Griller,470,loaded potato griller,Tacos & Wraps
500,Taco Bell,Mexican Pizza,540,mexican pizza,Other
501,Taco Bell,MexiMelt®,270,meximelt®,Tacos & Wraps
502,Taco Bell,Steak Quesalupa,440,steak quesalupa,Tacos & Wraps
503,Taco Bell,Chicken Quesalupa,440,chicken quesalupa,Tacos & Wraps
504,Taco Bell,Beef Quesalupa,460,beef quesalupa,Tacos & Wraps
505,Taco Bell,Shredded Chicken Mini Quesadilla,180,shredded chicken mini quesadilla,Tacos & Wraps
506,Taco Bell,Spicy Chicken Crunchwrap Slider,400,spicy chicken crunchwrap slider,Tacos & Wraps
507,Taco Bell,Spicy Tostada,200,spicy tostada,Tacos & Wraps
508,Taco Bell,Stacker,390,stacker,Tacos & Wraps
509,Taco Bell,Steak Quesadilla,520,steak quesadilla,Tacos & Wraps
510,Taco Bell,Original Triple Double Crunchwrap,700,original triple double crunchwrap,Tacos & Wraps
511,Taco Bell,Spicy Triple Double Crunchwrap,780,spicy triple double crunchwrap,Tacos & Wraps
512,Taco Bell,Express Taco Salad w/ Chips,580,express taco salad w/ chips,Tacos & Wraps
513,Taco Bell,Fiesta Taco Salad-Beef,780,fiesta taco salad-beef,Tacos & Wraps
514,Taco Bell,Fiesta Taco Salad-Chicken,720,fiesta taco salad-chicken,Tacos & Wraps
515,Taco Bell,Fiesta Taco Salad-Steak,720,fiesta taco salad-steak,Tacos & Wraps
