State,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Montana,"$7,616","$8,108","$8,398","$8,234","$7,980","$8,232","$8,287","$8,418","$8,632","$8,605","$8,556","$8,628","$8,628","$9,077","$9,106","$9,078","$8,962","$8,632","$8,216","$8,316","$8,471","$8,778"
Nebraska,"$8,045","$8,741","$8,352","$8,667","$8,907","$9,356","$9,746","$9,886","$10,075","$10,111","$9,977","$10,335","$10,590","$10,890","$10,934","$11,014","$11,294","$10,805","$9,921","$9,883","$9,766","$9,983"
Nevada,"$4,899","$4,977","$5,822","$6,131","$6,576","$6,818","$7,853","$8,650","$8,961","$8,828","$8,741","$9,049","$9,270","$9,629","$9,831","$9,988","$10,287","$9,961","$9,462","$9,311","$9,583","$9,883"
New Hampshire,"$13,781","$14,152","$14,577","$15,060","$15,393","$16,622","$17,640","$19,327","$20,496","$20,251","$20,036","$20,595","$21,062","$21,123","$21,233","$21,293","$21,120","$20,190","$18,807","$18,264","$17,940","$17,995"
New Jersey,"$13,601","$14,180","$14,903","$15,489","$16,074","$16,709","$17,201","$17,220","$17,414","$17,585","$17,688","$18,077","$18,195","$18,206","$18,188","$18,324","$17,932","$17,780","$17,031","$17,174","$17,509","$17,957"
New Mexico,"$6,663","$7,002","$6,478","$6,597","$6,760","$7,183","$7,572","$7,780","$7,963","$8,238","$8,372","$8,702","$8,903","$9,090","$9,139","$9,359","$10,085","$9,477","$9,853","$9,626","$9,426","$9,267"
New York,"$8,434","$8,253","$8,051","$7,883","$7,658","$8,615","$8,554","$8,881","$9,203","$9,573","$9,920","$10,386","$10,344","$10,417","$10,463","$10,661","$10,547","$10,167","$9,442","$9,145","$8,953","$8,740"
North Carolina,"$6,078","$6,026","$6,496","$6,687","$6,567","$6,812","$7,860","$8,143","$8,696","$9,006","$9,076","$9,468","$9,658","$9,694","$9,268","$9,149","$9,037","$8,767","$8,133","$7,871","$7,678","$7,541"
North Dakota,"$7,851","$8,365","$8,804","$9,012","$9,133","$9,508","$9,700","$9,821","$9,825","$10,053","$10,220","$10,444","$10,584","$10,758","$11,116","$11,677","$12,006","$11,989","$11,414","$11,020","$10,767","$11,080"
Ohio,"$14,039","$13,750","$13,487","$13,141","$12,673","$12,765","$13,372","$13,524","$13,699","$13,741","$13,719","$13,863","$13,828","$13,740","$13,855","$14,276","$14,555","$14,321","$13,872","$13,806","$13,812","$13,840"
